TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1487804665,"North Station","295","Reading",1487804700,0,"6","All Aboard"
1487804665,"North Station","173","Newburyport",1487804700,0,"1","All Aboard"
1487804665,"North Station","425","Wachusett",1487805900,0,,"On Time"
1487804665,"North Station","121","Rockport",1487805900,0,,"On Time"
1487804665,"North Station","219","Haverhill",1487805900,0,,"On Time"
1487804665,"North Station","337","Lowell",1487806200,0,,"On Time"
1487804665,"North Station","175","Newburyport",1487807100,0,,"On Time"
1487804665,"North Station","221","Haverhill",1487807700,0,,"On Time"
1487804665,"North Station","427","Wachusett",1487808900,0,,"On Time"
1487804665,"North Station","123","Rockport",1487808900,0,,"On Time"
1487804665,"North Station","297","Reading",1487809200,0,,"On Time"
1487804665,"North Station","339","Lowell",1487809500,0,,"On Time"
1487804665,"North Station","177","Newburyport",1487810100,0,,"On Time"
1487804665,"North Station","223","Haverhill",1487810400,0,,"On Time"
1487804665,"North Station","341","Lowell",1487813700,0,,"On Time"
1487804665,"North Station","429","Wachusett",1487814300,0,,"On Time"
1487804665,"North Station","125","Rockport",1487814300,0,,"On Time"
1487804665,"North Station","179","Newburyport",1487815800,0,,"On Time"
1487804665,"North Station","225","Haverhill",1487816400,0,,"On Time"
1487804665,"South Station","023","Middleboro/Lakeville",1487804220,360,"12","Now Boarding"
1487804665,"South Station","827","Providence",1487805000,0,"3","Now Boarding"
1487804665,"South Station","067","Plymouth",1487805300,0,,"On Time"
1487804665,"South Station","723","Forge Park / 495",1487805600,0,,"On Time"
1487804665,"South Station","527","Worcester / Union Station",1487805600,0,,"On Time"
1487804665,"South Station","921","Stoughton",1487806200,0,,"On Time"
1487804665,"South Station","779","Readville",1487806200,0,,"On Time"
1487804665,"South Station","623","Needham Heights",1487806560,0,,"On Time"
1487804665,"South Station","089","Greenbush",1487806680,0,,"On Time"
1487804665,"South Station","529","Worcester / Union Station",1487807100,0,,"On Time"
1487804665,"South Station","829","Wickford Junction",1487807400,0,,"On Time"
1487804665,"South Station","025","Middleboro/Lakeville",1487807520,0,,"On Time"
1487804665,"South Station","781","Readville",1487808900,0,,"On Time"
1487804665,"South Station","923","Stoughton",1487809200,0,,"On Time"
1487804665,"South Station","051","Kingston",1487809740,0,,"On Time"
1487804665,"South Station","831","Providence",1487809800,0,,"On Time"
1487804665,"South Station","625","Needham Heights",1487809800,0,,"On Time"
1487804665,"South Station","725","Forge Park / 495",1487810700,0,,"On Time"
